    YY |    DDD |  Pos-R [mm] |  SVN |  Pos-A [mm] |  SVN |  Pos-C [mm] |  SVN |  Vel-R [mm/s] |  SVN |  Vel-A [mm/s] |  SVN |  Vel-C [mm/s] |  SVN |  North [mm] |  Station |  East [mm] |  Station |  Up [mm] |  Station |  ERP-X [μas] |  ERP-Y [μas] |  ERP-LOD [μs]
    26 |     55 |        0.10 |  215 |        0.10 |    3 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.06 |     AMU2 |       0.06 |     GAMB |    -0.13 |     WUHN |    -5.30e-01 |    -5.60e-01 |     -1.10e-02
    26 |     56 |        0.00 |    1 |        0.20 |    5 |        0.20 |  205 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     AMU2 |       0.07 |     ASPA |    -0.06 |     WUHN |    -9.00e-02 |    -3.10e-01 |      0.00e+00
    26 |     57 |        0.10 |  212 |        0.20 |    1 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.07 |     AMU2 |       0.08 |     FAA1 |    -0.09 |     WUHN |    -9.80e-01 |    -3.00e-02 |     -3.00e-03
    26 |     58 |        0.00 |    1 |        0.10 |    4 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.03 |     CHAN |       0.03 |     AC24 |    -0.03 |     AIRA |     1.70e-01 |     3.00e-02 |     -3.00e-03
    26 |     59 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.05 |     ARHT |       0.04 |     ALBH |    -0.05 |     THTI |    -6.70e-01 |     6.00e-02 |     -7.00e-03
    26 |     60 |        0.00 |    1 |        0.10 |    2 |        0.10 |    5 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.06 |     COTE |       0.06 |     GAMB |     0.06 |     CPVG |    -8.00e-01 |     2.10e-01 |     -6.00e-03
    26 |     61 |        0.00 |    1 |        0.10 |    2 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.05 |     ARHT |      -0.04 |     CZTG |    -0.05 |     PTAG |    -9.50e-01 |    -1.90e-01 |     -7.00e-03
    26 |     62 |        0.00 |    1 |        0.20 |   10 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     AMU2 |       0.06 |     GAMB |     0.03 |     ABMF |    -7.80e-01 |    -6.40e-01 |     -5.00e-03
    26 |     63 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.03 |     ARHT |      -0.04 |     DAV1 |     0.03 |     CPVG |    -5.50e-01 |     4.60e-01 |     -7.00e-03
    26 |     64 |        0.10 |   13 |        0.50 |   15 |        0.50 |  103 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -2.67 |     SCRZ |       3.08 |     SCRZ |   -17.94 |     SCRZ |     1.41e+00 |    -2.32e+00 |      4.00e-03
    26 |     65 |        0.00 |    1 |        0.20 |    2 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.02 |     AC24 |       0.04 |     AIRA |     0.03 |     AIRA |     1.70e-01 |     3.80e-01 |      1.00e-03
    26 |     66 |        0.00 |    1 |        0.20 |    3 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     AMU2 |       0.05 |     ASPA |     0.04 |     CPVG |    -3.40e-01 |    -1.60e-01 |     -4.00e-03
